City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Santarem,BR,-2.4431,-54.7083,77.13,94,0,2.3,clear sky
197,Maningrida,AU,-12.0667,134.2667,81.5,34,41,5.23,scattered clouds
198,Ribeira Grande,PT,38.5167,-28.7,73.65,89,12,5.21,few clouds
199,Esperance,AU,-33.8667,121.9,55.72,60,99,21.39,light rain
200,Birin,NP,26.8865,88.0718,63.97,96,100,1.99,overcast clouds
201,Yulara,AU,-25.2406,130.9889,73.83,19,0,21.74,clear sky
202,Nakasongola,UG,1.3089,32.4564,65.86,75,100,3.15,overcast clouds
203,Santiago Del Estero,AR,-27.7951,-64.2615,72.75,53,55,5.75,broken clouds
204,East London,ZA,-33.0153,27.9116,56.64,67,63,22.19,broken clouds
205,Tyup,KG,42.7276,78.3648,75.76,35,0,0.98,clear sky
206,Hilo,US,19.7297,-155.09,82.27,84,100,1.99,moderate rain
207,Morro Bay,US,35.3658,-120.8499,63.46,69,27,9.55,scattered clouds
208,Kuvshinovo,RU,57.0295,34.1725,60.44,95,99,6.06,moderate rain
209,Adrar,MR,20.5022,-10.0711,86.45,50,25,17.76,scattered clouds
210,Castro,BR,-24.7911,-50.0119,58.06,74,58,3.22,broken clouds
211,Dicabisagan,PH,17.0818,122.4157,87.89,63,91,3.51,overcast clouds
212,Chepen,PE,-7.2167,-79.45,63.37,83,11,3.53,few clouds
213,Kendal,GB,54.3268,-2.7476,62.6,93,100,20.24,overcast clouds
214,Turukhansk,RU,65.8167,87.9833,59.5,96,100,2.62,light rain
215,Mandalgovi,MN,45.7625,106.2708,68.58,43,34,10.31,scattered clouds
216,Berdigestyakh,RU,62.0989,126.6992,77.31,51,23,2.59,few clouds
217,Salalah,OM,17.0151,54.0924,77.09,88,100,5.75,overcast clouds
218,Biak,ID,-0.9131,122.8766,79.23,76,58,5.7,broken clouds
219,Mehamn,NO,71.0357,27.8492,49.91,100,100,17.27,overcast clouds
220,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,10.36,broken clouds
221,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,1.14,broken clouds
222,Cherskiy,RU,68.75,161.3,63.79,38,47,6.04,scattered clouds
223,Honningsvag,NO,70.9821,25.9704,49.75,87,100,20.71,overcast clouds
224,Machico,PT,32.7,-16.7667,77.13,78,20,2.3,few clouds
225,Aransas Pass,US,27.9095,-97.15,87.84,83,40,11.5,scattered clouds
226,Chapais,CA,49.7834,-74.8492,58.42,89,88,2.42,overcast clouds
227,Wajima,JP,37.4,136.9,79.48,73,75,3.44,broken clouds
228,Hambantota,LK,6.1241,81.1185,77.34,94,40,4.61,scattered clouds
229,Larsnes,NO,62.2028,5.5773,54.77,91,100,2.1,overcast clouds
230,Manaus,BR,-3.1019,-60.025,82.89,74,0,3.44,clear sky
231,Vega De Alatorre,MX,20.0333,-96.6333,82.44,76,98,14.41,overcast clouds
232,Khandyga,RU,62.6667,135.6,78.57,49,5,3.89,clear sky
233,West Bay,KY,19.3667,-81.4167,83.07,82,40,2.3,scattered clouds
234,Tres Passos,BR,-27.4556,-53.9319,63.23,89,100,4.59,overcast clouds
235,Kindu,CD,-2.95,25.95,69.94,97,53,2.44,broken clouds
236,Dauphin,CA,51.1494,-100.0502,64.54,68,100,5.75,overcast clouds
237,Fort Nelson,CA,58.8053,-122.7002,71.19,46,75,4.61,broken clouds
238,Ciro Marina,IT,39.3732,17.126,79.63,61,0,8.01,clear sky
239,Tautira,PF,-17.7333,-149.15,80.06,73,1,16.78,clear sky
240,Wasilla,US,61.5814,-149.4394,65.73,49,75,19.57,broken clouds
241,Aksum,ET,14.1245,38.7244,61.61,82,100,4.21,moderate rain
242,Luderitz,NA,-26.6481,15.1594,56.62,64,0,15.86,clear sky
243,Cabedelo,BR,-6.9811,-34.8339,74.07,89,90,13.53,overcast clouds
244,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,59.92,99,100,4.41,overcast clouds
245,Ancud,CL,-41.8697,-73.8203,44.82,91,100,2.39,light rain
246,Cidreira,BR,-30.1811,-50.2056,61.86,98,100,9.35,overcast clouds
247,Shitanjing,CN,39.2342,106.3439,82.56,26,2,1.32,clear sky
248,Katobu,ID,-4.9408,122.5276,82.13,58,6,6.62,clear sky
249,Zhigansk,RU,66.7697,123.3711,60.96,67,47,10.2,scattered clouds
250,Sosua,DO,19.7667,-70.5167,80.58,89,40,9.22,scattered clouds
251,Mancora,PE,-4.1078,-81.0475,68.61,75,14,7.16,few clouds
252,Ivanava,BY,52.1451,25.5365,63.91,97,100,9.26,overcast clouds
253,Mier,MX,26.4333,-99.15,89.42,48,97,24.49,overcast clouds
254,Fallon,US,39.4735,-118.7774,96.67,7,0,6.91,clear sky
255,Watertown,US,42.3709,-71.1828,83.25,57,0,3.44,clear sky
256,Tavda,RU,58.0425,65.2726,59.36,68,81,4.61,broken clouds
257,Nguruka,TZ,-5.1092,31.0419,62.35,57,2,4.7,clear sky
258,Lorengau,PG,-2.0226,147.2712,85.6,69,19,10.11,few clouds
259,Alvaraes,BR,-3.2208,-64.8042,73.36,97,91,1.92,overcast clouds
260,Torit,SS,4.4133,32.5678,67.78,94,47,2.55,light rain
261,Souillac,MU,-20.5167,57.5167,70.18,73,75,10.36,broken clouds
262,Sur,OM,22.5667,59.5289,85.8,69,67,8.23,broken clouds
263,Carnot,CF,4.9409,15.8665,67.46,97,59,0.85,broken clouds
264,El Penol,CO,1.4599,-77.4454,61.34,96,96,1.92,light rain
265,Wajir,KE,1.7471,40.0573,69.62,76,78,12.62,broken clouds
266,Dali,CN,25.7,100.1833,68.41,79,98,1.77,overcast clouds
267,Dwarka,IN,22.2394,68.9678,81.86,83,100,19.91,light rain
268,Mount Isa,AU,-20.7333,139.5,74.97,31,0,11.5,clear sky
269,Zhob,PK,31.3411,69.4481,72.75,82,73,8.5,broken clouds
270,Erzin,TR,36.9559,36.2,72.19,58,0,4.14,clear sky
271,Husainabad,IN,24.5333,84.0167,84.29,71,100,5.01,overcast clouds
272,Korla,CN,41.7597,86.1469,93.78,13,0,11.41,clear sky
273,Faya,SA,18.3851,42.4509,61.32,72,100,19.37,overcast clouds
274,Mao,ES,39.8885,4.2658,80.67,69,0,2.19,clear sky
275,Huancavelica,PE,-12.7667,-74.9833,35.49,93,86,4.45,overcast clouds
276,Trinidad,BO,-14.8333,-64.9,76.69,54,3,2.62,clear sky
277,Muravlenko,RU,63.7898,74.523,49.62,94,100,20.31,overcast clouds
278,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,2.3,overcast clouds
279,Kavieng,PG,-2.5744,150.7967,85.48,65,20,8.43,few clouds
280,Kulhudhuffushi,MV,6.6221,73.07,81.41,74,44,14.38,scattered clouds
281,Leiyang,CN,26.4024,112.8591,93.22,56,0,3.38,clear sky
282,Matagami,CA,49.7502,-77.6328,63.25,75,81,2.3,broken clouds
283,San Felipe,VE,10.3399,-68.7425,69.78,98,15,1.74,few clouds
284,Awbari,LY,26.5921,12.7805,78.17,27,0,9.84,clear sky
285,Karasjok,NO,69.4719,25.5112,47.34,86,13,5.84,few clouds
286,Quatre Cocos,MU,-20.2078,57.7625,69.91,75,84,15.19,broken clouds
287,Drovyanaya,RU,51.5833,113.0333,74.48,51,100,5.17,overcast clouds
288,Loiza,PR,18.4313,-65.8802,82.4,84,40,16.11,scattered clouds
289,San Cristobal,VE,7.7669,-72.225,73.58,87,5,1.72,clear sky
290,Pangody,RU,65.85,74.4859,55.08,90,94,11.63,overcast clouds
291,Zhanakorgan,KZ,43.9098,67.2495,91.69,22,42,24.25,scattered clouds
292,Mezen,RU,65.8522,44.24,53.17,75,98,4.05,overcast clouds
293,Mahebourg,MU,-20.4081,57.7,70.09,73,75,10.36,broken clouds
294,Lebu,CL,-37.6167,-73.65,51.37,94,100,3.6,light rain
295,Vredendal,ZA,-31.6683,18.5012,46.67,68,0,4.34,clear sky
296,Sao Filipe,CV,14.8961,-24.4956,76.95,88,100,4.5,light rain
297,Tasiilaq,GL,65.6145,-37.6368,35.76,88,98,10.31,overcast clouds
298,Palanga,LT,55.9175,21.0686,63.95,84,97,16.06,overcast clouds
299,Trapani,IT,37.8333,12.6667,79.9,73,0,3.44,clear sky
300,Zelenogorskiy,RU,55.0333,87.0,53.82,99,100,3.96,light rain
301,Chokurdakh,RU,70.6333,147.9167,65.43,35,64,11.05,broken clouds
302,Xiamen,CN,24.4798,118.0819,89.65,79,0,4.47,clear sky
303,Tripoli,LY,32.8752,13.1875,78.26,61,0,8.12,clear sky
304,Altamira,BR,-3.2033,-52.2064,73.99,66,18,2.46,few clouds
305,Altay,CN,47.8667,88.1167,70.5,33,55,5.95,broken clouds
306,Oussouye,SN,12.485,-16.5469,77.18,90,95,5.61,moderate rain
307,Riyadh,SA,24.6877,46.7219,93.34,18,97,6.69,overcast clouds
308,Gao,ML,16.6362,1.637,78.66,63,100,21.52,moderate rain
309,Vardo,NO,70.3705,31.1107,51.78,82,100,14.97,overcast clouds
310,Yuncheng,CN,35.0231,110.9928,83.44,46,0,3.62,clear sky
311,Asau,RO,46.4333,26.4,61.72,55,4,4.7,clear sky
312,Opelika,US,32.6454,-85.3783,80.76,82,0,0.0,clear sky
313,Port Hedland,AU,-20.3167,118.5667,72.07,36,0,15.68,clear sky
314,Torbay,CA,47.6666,-52.7314,72.37,83,20,17.27,few clouds
315,Yakeshi,CN,49.2833,120.7333,72.84,66,98,12.01,overcast clouds
316,Mapiri,BO,-15.25,-68.1667,67.42,82,10,1.43,clear sky
317,Mokobeng,BW,-22.9965,27.6678,58.44,60,18,4.61,few clouds
318,Ca Mau,VN,9.1769,105.15,83.44,74,90,3.98,overcast clouds
319,Mecca,SA,21.4267,39.8261,86.67,58,80,15.9,broken clouds
320,Alugan,PH,12.2188,125.4808,83.91,78,100,1.99,overcast clouds
321,Pangnirtung,CA,66.1451,-65.7125,49.71,72,86,1.54,overcast clouds
322,Chimbarongo,CL,-34.7,-71.05,51.06,86,100,0.69,overcast clouds
323,Panama City,PA,8.9936,-79.5197,80.44,92,40,4.61,scattered clouds
324,Barroquinha,BR,-3.0189,-41.1361,74.07,83,100,4.27,overcast clouds
325,Meadow Lake,US,34.8014,-106.5436,96.28,31,27,17.25,scattered clouds
326,Wagar,SD,16.1525,36.2032,84.49,62,96,24.16,overcast clouds
327,Waingapu,ID,-9.6567,120.2641,80.47,49,24,12.66,few clouds
328,Batagay,RU,67.6333,134.6333,61.83,85,100,3.96,overcast clouds
329,Temple,US,31.0982,-97.3428,90.66,39,95,15.61,overcast clouds
